asset_id,firm_id,firm,sector,country,facility,unit_number,capacity_mt_yr,next_investment_year,emission_intensity_tco2_t,route,category,wacc,hurdle,ev_usd_bn,elec_driver,output_unit,status,source,theory_anchor
A01,POSCO,POSCO,steel,KR,Gwangyang,BF5,4.2,2037,2.1,h2_dri,priced_route,0.075,0.10,40,elec_kr_regulated,Mt steel/yr,banded,"assets_blast_furnace.csv A01; DART WACC; EV 시장근사",#axiom-linear-cost
A02,POSCO,POSCO,steel,KR,Gwangyang,BF3,3.5,2033,2.0,h2_dri,priced_route,0.075,0.10,40,elec_kr_regulated,Mt steel/yr,banded,"assets_blast_furnace.csv A02",#axiom-linear-cost
A06,POSCO,POSCO,steel,KR,Pohang,BF4,3.3,2031,2.0,h2_dri,priced_route,0.075,0.10,40,elec_kr_regulated,Mt steel/yr,banded,"assets_blast_furnace.csv A06 (PROVISIONAL reline)",#axiom-linear-cost
A07,POSCO,POSCO,steel,KR,Gwangyang,BF4,3.5,2036,2.0,h2_dri,priced_route,0.075,0.10,40,elec_kr_regulated,Mt steel/yr,banded,"assets_blast_furnace.csv A07 (PROVISIONAL reline)",#axiom-linear-cost
A03,HYUNDAI,Hyundai Steel,steel,KR,Dangjin,BF1,3.8,2040,2.1,scrap_eaf,no_feasible_route,0.105,0.12,18,elec_kr_regulated,Mt steel/yr,banded,"assets_blast_furnace.csv A03; 요구 심도 > scrap-EAF 심도 (A4) — stranding 분리",#axiom-route-sensitivity
A08,HYUNDAI,Hyundai Steel,steel,KR,Dangjin,BF2,3.7,2028,2.1,scrap_eaf,no_feasible_route,0.105,0.12,18,elec_kr_regulated,Mt steel/yr,banded,"assets_blast_furnace.csv A08; 요구 심도 > scrap-EAF 심도 (A4) — stranding 분리",#axiom-route-sensitivity
A04,NIPPON,Nippon Steel,steel,JP,Oita,BF1,5.2,2034,1.9,h2_dri,priced_route,0.0575,0.06,40,elec_jp,Mt steel/yr,banded,"assets_blast_furnace.csv A04; EDINET FY2024",#axiom-linear-cost
A09,NIPPON,Nippon Steel,steel,JP,Kashima,BF1,2.8,2032,1.9,h2_dri,priced_route,0.0575,0.06,40,elec_jp,Mt steel/yr,banded,"assets_blast_furnace.csv A09 (PROVISIONAL)",#axiom-linear-cost
A05,JFE,JFE Steel,steel,JP,Keihin,BF1,4.5,2036,2.0,scrap_eaf,priced_route,0.0575,0.06,15,elec_jp,Mt steel/yr,banded,"assets_blast_furnace.csv A05 (FY2025 UNVERIFIED)",#axiom-linear-cost
A10,JFE,JFE Steel,steel,JP,Kurashiki,BF3,3.7,2034,2.0,scrap_eaf,priced_route,0.0575,0.06,15,elec_jp,Mt steel/yr,banded,"assets_blast_furnace.csv A10; Kurashiki EAF 전환 발표",#axiom-linear-cost
A11,KOBE,Kobe Steel,steel,JP,Kakogawa,BF2,2.6,2033,1.95,ng_dri,priced_route,0.0575,0.06,8,elec_jp,Mt steel/yr,banded,"assets_blast_furnace.csv A11; Midrex NG-DRI co-located",#axiom-linear-cost
P01,KR_NCC,Korea NCC archetype,petrochemicals,KR,Korea naphtha-cracker portfolio,NCC,2.0,2032,1.30,e_cracker,priced_route,0.070,0.090,15,elec_kr_smp,Mt HVC/yr,assumed,"IEA naphtha-cracker benchmark + BASF/SABIC/Linde e-furnace demonstration; capacity/WACC/EV illustrative archetype",#axiom-route-sensitivity
P02,JP_NCC,Japan NCC archetype,petrochemicals,JP,Japan naphtha-cracker portfolio,NCC,1.3,2030,1.30,ccus_cracker,priced_route,0.050,0.070,10,elec_jp,Mt HVC/yr,assumed,"IEA naphtha-cracker benchmark + DOE ethylene decarbonization routes; capacity/WACC/EV illustrative archetype",#axiom-route-sensitivity
