company_id,company,country,year,crude_steel_mt,data_source,notes
C01,POSCO,KR,2021,38.4,worldsteel 2024; company annual reports,
C01,POSCO,KR,2022,37.2,worldsteel 2024; company annual reports,
C01,POSCO,KR,2023,36.1,worldsteel 2024; company annual reports,
C01,POSCO,KR,2024,35.8,worldsteel 2024; company annual reports,
C02,Hyundai Steel,KR,2021,21.9,worldsteel 2024; company annual reports,
C02,Hyundai Steel,KR,2022,21.3,worldsteel 2024; company annual reports,
C02,Hyundai Steel,KR,2023,20.8,worldsteel 2024; company annual reports,
C02,Hyundai Steel,KR,2024,20.5,worldsteel 2024; company annual reports,
C03,Nippon Steel,JP,2021,43.1,worldsteel 2024; company annual reports,
C03,Nippon Steel,JP,2022,40.1,worldsteel 2024; company annual reports,
C03,Nippon Steel,JP,2023,38.7,worldsteel 2024; company annual reports,
C03,Nippon Steel,JP,2024,37.6,worldsteel 2024; company annual reports,
C04,JFE Steel,JP,2021,29.3,worldsteel 2024; company annual reports,
C04,JFE Steel,JP,2022,27.5,worldsteel 2024; company annual reports,
C04,JFE Steel,JP,2023,26.1,worldsteel 2024; company annual reports,
C04,JFE Steel,JP,2024,25.8,worldsteel 2024; company annual reports,
C05,Kobe Steel,JP,2021,6.1,worldsteel 2024; company annual reports,
C05,Kobe Steel,JP,2022,5.8,worldsteel 2024; company annual reports,
C05,Kobe Steel,JP,2023,5.5,worldsteel 2024; company annual reports,
C05,Kobe Steel,JP,2024,5.4,worldsteel 2024; company annual reports,
